,"04/16/20","04/17/20","04/18/20","04/19/20","04/20/20","04/21/20","04/22/20","04/23/20","04/24/20","04/25/20","04/26/20","04/27/20","04/28/20","04/29/20","04/30/20","05/04/20","05/06/20","05/07/20","05/08/20","05/09/20","05/10/20","05/11/20","05/12/20","05/13/20","05/14/20","05/15/20","05/16/20","05/17/20","05/18/20","05/19/20","05/20/20","05/21/20","05/22/20"
"68007",5,5,5,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,9,9,9,9,9,9,9,9,9,10,10,10,10,11,11
"68010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68022",6,6,7,7,8,8,9,9,9,9,9,9,10,10,10,10,10,10,10,14,14,14,15,16,21,32,62,64,64,67,70,72,74
"68064",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,4,4,5
"68069",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"68102",9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,12,12,13,13,13,14,14,17,17,19,19
"68104",20,20,21,23,23,24,24,27,31,32,36,40,41,45,48,59,79,85,104,126,131,136,147,172,189,201,220,222,225,257,284,316,326
"68105",31,31,34,35,35,36,38,40,42,44,46,51,53,55,63,67,78,85,89,94,97,101,113,129,140,145,158,159,167,193,199,216,226
"68106",5,5,5,5,6,6,6,6,7,8,8,10,11,11,12,15,16,20,21,21,23,24,27,27,30,35,36,36,37,41,45,50,52
"68107",4,7,7,7,7,7,9,11,16,21,27,41,41,43,64,91,125,149,182,211,225,230,255,296,326,350,375,384,397,440,475,539,567
"68108",3,3,3,3,3,3,4,6,9,10,11,13,15,17,25,34,46,58,63,71,75,80,85,97,102,106,108,109,114,133,139,151,162
"68110",5,5,5,5,5,5,5,7,8,9,10,12,12,14,18,27,34,38,45,51,51,52,53,59,65,73,76,77,78,79,82,87,90
"68111",15,14,15,16,21,24,29,28,30,32,41,42,43,48,54,60,69,76,87,95,99,105,107,120,138,143,149,153,155,165,174,184,196
"68112",11,12,13,13,13,13,13,13,14,14,16,16,16,17,17,19,22,22,25,25,25,26,26,31,35,35,39,41,43,44,44,45,47
"68114",4,4,5,5,5,5,5,6,6,6,6,6,6,8,8,8,9,11,11,17,17,17,19,23,28,33,39,40,42,48,53,55,57
"68116",7,7,7,7,7,7,8,8,8,8,8,10,10,11,11,11,11,11,13,13,13,14,14,14,17,17,19,19,19,23,26,27,28
"68117",2,2,2,2,2,2,2,2,3,4,4,6,7,8,14,16,19,25,27,30,32,32,36,44,49,52,54,54,55,61,63,66,69
"68118",4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,8,9
"68122",6,8,8,8,8,8,8,10,10,10,11,15,18,20,23,25,31,34,37,46,46,47,52,56,63,68,76,78,79,83,88,98,100
"68124",9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,11,11,11,11,11,11,11,12,12,14,16,17,18,18,22,22,22
"68127",7,7,7,7,7,7,7,7,8,9,9,9,9,12,13,15,18,25,30,32,33,34,38,48,59,62,65,66,72,75,81,84,91
"68130",6,6,6,6,6,6,6,6,7,9,10,13,13,13,13,13,14,14,16,16,16,16,16,17,19,19,19,19,19,22,22,24,24
"68131",6,7,7,7,8,9,10,12,13,13,15,18,19,19,19,19,24,28,29,32,33,33,33,38,40,42,45,46,49,56,59,63,65
"68132",11,11,11,11,11,11,11,12,12,12,13,15,15,15,18,23,25,25,27,28,30,30,30,39,44,45,50,50,50,60,63,70,73
"68134",17,17,17,17,18,18,21,24,25,27,30,30,30,30,34,38,40,41,44,45,49,52,57,68,75,78,83,84,84,88,92,99,108
"68135",12,12,12,12,12,12,12,14,15,15,15,15,15,15,15,15,15,15,18,19,19,19,19,21,24,25,25,26,26,26,28,28,31
"68137",12,12,13,13,13,13,13,13,13,13,14,14,14,15,16,16,20,21,22,24,24,25,29,36,39,39,43,45,45,48,50,61,64
"68142",2,2,2,2,2,2,2,2,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,8,9,9,9,9,9,11,12,12,15
"68144",9,9,9,9,9,9,9,9,9,10,11,11,11,12,12,12,12,13,14,14,16,17,17,18,20,23,24,24,25,27,34,42,41
"68152",5,5,5,5,5,5,6,7,7,7,7,7,8,8,10,12,15,16,18,19,20,20,20,21,23,24,25,25,25,28,30,33,33
"68154",10,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,16,17,17,17,17,17,17,18,20,20,24,26,26,34,37,37,38
"68164",20,21,21,22,22,22,24,25,26,28,31,36,37,38,40,42,44,46,47,47,47,47,49,51,52,56,58,59,60,65,70,74,75
"68178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
