,"04/16/20","04/17/20","04/20/20","04/21/20","04/22/20","04/23/20","04/24/20","04/27/20","04/28/20","04/29/20"
"99001",4,4,4,4,4,4,4,4,4,4
"99003",2,2,2,2,2,2,2,2,2,2
"99004",8,8,8,8,8,9,9,9,9,9
"99005",4,4,4,4,4,4,4,6,6,6
"99006",4,4,4,4,4,4,4,5,5,5
"99016",6,6,7,7,7,7,7,7,7,7
"99019",7,7,7,7,7,7,7,7,7,7
"99021",3,3,3,3,3,3,3,3,3,3
"99022",4,4,4,4,4,4,4,4,4,4
"99025",2,2,3,3,3,3,3,3,3,3
"99027",2,2,2,2,2,2,2,2,2,2
"99030",1,1,1,1,1,1,1,1,1,1
"99036",1,1,1,1,1,1,1,1,1,1
"99037",24,24,24,24,24,24,24,24,24,24
"99201",4,4,5,5,5,5,5,5,5,5
"99202",32,32,33,33,34,34,34,45,46,46
"99203",8,8,8,8,8,8,8,8,8,8
"99204",3,3,3,3,3,3,3,4,4,4
"99205",13,15,17,17,17,17,17,18,18,18
"99206",21,21,22,22,22,22,22,24,24,24
"99207",26,26,29,29,30,30,30,31,32,32
"99208",27,27,28,28,28,28,28,38,38,39
"99212",17,17,18,19,19,19,19,19,19,19
"99216",9,9,9,9,9,9,9,10,10,10
"99217",10,12,13,13,13,13,13,13,13,13
"99218",13,13,14,14,16,16,16,16,17,17
"99223",15,15,16,16,16,16,16,16,17,17
"99224",16,16,16,16,17,17,17,17,17,17
